id,favorite_count,retweet_count
821522889702862852,8152,1796
821421320206483457,0,5692
821407182352777218,11960,4419
821153421864615936,259,10
821149554670182400,8774,2028
821107785811234820,9745,2172
821044531881721856,12844,2322
820837357901512704,0,6855
820749716845686786,32054,10075
820690176645140481,12391,3286
820494788566847489,0,573
820446719150292993,0,2615
820314633777061888,3398,573
820078625395449857,20119,6405
820013781606658049,0,1200
819952236453363712,5411,1200
819924195358416896,13092,4956
819711362133872643,13605,3170
819588359383371776,9792,2026
819347104292290561,7333,1230
819238181065359361,2311,414
819227688460238848,23451,6855
819015337530290176,0,37527
819015331746349057,0,19300
819006400881917954,45986,19300
819004803107983360,88242,37527
818646164899774465,0,21408
818627210458333184,22778,7681
818614493328580609,10010,2613
818588835076603904,0,6273
818536468981415936,11078,2513
818307523543449600,0,8256
818259473185828864,11217,2318
818145370475810820,12509,2618
817908911860748288,4944,819
817827839487737858,52578,27590
817777686764523521,10926,2745
817536400337801217,11965,3028
817502432452313088,0,3465
817423860136083457,34481,15035
817415592588222464,5703,972
817181837579653120,0,8640
817171292965273600,8922,2064
817120970343411712,12423,2654
817056546584727552,8738,1679
816829038950027264,0,4804
816816676327063552,10201,2079
816697700272001025,9978,2239
816450570814898180,31017,8256
816336735214911488,8758,1985
816091915477250048,9082,2187
816062466425819140,0,1049
816014286006976512,0,5392
815990720817401858,5054,1049
815966073409433600,22833,8640
815745968457060357,0,4228
815736392542261248,10040,2320
815639385530101762,8374,1681
815390420867969024,10559,3888
814986499976527872,7792,1303
814638523311648768,11481,2762
814578408554463233,0,5961
814530161257443328,8820,1906
814153002265309185,29356,8876
813944609378369540,0,3254
813910438903693312,9477,1909
813812741911748608,37130,14295
813800681631023104,8486,1805
813217897535406080,19008,7457
813202720496779264,9421,1848
813187593374461952,20287,4466
813172488309972993,9458,1971
813157409116065792,7929,2267
813142292504645637,8642,2438
813130366689148928,4570,457
813127251579564032,12095,3203
813112105746448384,10531,2804
813096984823349248,10772,3698
813081950185472002,10092,2834
813066809284972545,8125,2000
813051746834595840,21411,7534
812781120811126785,7733,1952
812709060537683968,6754,1465
812503143955202048,6198,1250
812466873996607488,8132,1981
812372279581671427,13946,3750
811985624773361665,7416,1436
811744202451197953,7704,1637
811647686436880384,5728,760
811627233043480576,13041,3156
811386762094317568,21383,6533
810984652412424192,5451,1471
810896069567610880,9218,1811
810657578271330305,11209,2718
810284430598270976,36044,11580
810254108431155201,15024,3451
809920764300447744,15855,4035
809808892968534016,0,5018
809448704142938112,7089,1499
809220051211603969,20360,5737
809084759137812480,13531,3611
808838249661788160,10338,3123
808733504066486276,8080,2220
808501579447930884,11545,2673
808344865868283904,43522,21408
808134635716833280,0,6084
808106460588765185,8989,2258
808001312164028416,12807,3619
807621403335917568,14895,3724
807106840509214720,120945,56894
807059379405148160,0,7528
807010152071229440,13364,3954
806629075125202948,76429,35583
806620845233815552,0,5673
806576416489959424,5002,1993
806542213899489280,10451,2415
806242860592926720,0,11933
806219024703037440,6579,1221
